
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"SCENARIO: T < 2%"
"Results of DICE2023-opt-b-4-3-1"
"Temp limit 2.0"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000
"Year",2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000
"Objective function (2019$)",2872.6687193223
"Industrial CO2 GtCO2/yr",37.3362001005,38.0782860111,34.4492192686,30.9462088147,29.9301676589,28.3208574235,25.8056161572,23.2571924167,19.7813220031,15.2291206908,9.6880601759,4.8285512418,4.7536269891,3.7690899930,2.8209116906,1.9702028709,1.1889784603,3.4371316245,2.6140256326,2.3406930444,1.9643922207,1.6275599935,1.3128030071,-9.3127301742,14.3725310942
"Atmospheric concentration C (ppm)",416.2031931455,429.8883525409,441.1479216333,450.5022024955,459.5110829495,467.7362802155,474.7279444154,480.5763329868,484.8125219650,486.9408208520,486.5480357998,484.1785007644,482.5696803987,480.8358809496,478.9402269257,476.9069542720,474.7488940709,474.1459119677,473.0845997188,472.0157584577,470.8807387837,469.7050685281,468.4951414502,461.4166780053,468.7578986223
"Atmospheric concentrations GtC",886.5128014000,915.6621909121,939.6450730789,959.5696913155,978.7586066825,996.2782768591,1011.1705216047,1023.6275892619,1032.6506717854,1037.1839484149,1036.3473162536,1031.3002066281,1027.8734192493,1024.1804264227,1020.1426833518,1015.8118125994,1011.2151443710,1009.9307924912,1007.6701974011,1005.3935655150,1002.9759736093,1000.4717959648,997.8946512889,982.8175241514,998.4543240656
"Atmospheric temperaturer (deg c above preind) ",1.2471500000,1.4247331259,1.5460540857,1.6385117012,1.7175319758,1.7883157294,1.8506079885,1.9044624718,1.9485097360,1.9802635341,1.9971226195,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,1.9773175525,2.0000000000
